自治体,ケース数,規制タイプ,区域類型,禁止区域比率,プロセス重視度,住民参加(正規化),手続き(正規化)
宇和島市,263,許可制優位,2層構造(抑制+禁止),0.7,住民参加・手続き重視型,19.8,33.5
羽幌町,315,届出制優位,区域設定なし,0.0,標準型,5.7,9.8
益子町,195,届出制優位,抑制地区制,0.0,手続き重視型,8.2,39.0
越生町,184,届出制優位,禁止地区制,1.0,住民参加・手続き重視型,16.8,46.2
遠野市,106,許可制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,16.0,45.3
塩尻市,155,届出制優位,禁止地区制,0.4,住民参加・手続き重視型,15.5,47.1
塩谷町,271,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,16.6,36.5
岡垣町,91,届出制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,12.1,45.1
岡山県美作市,49,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,20.4,51.0
下関市,159,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,11.9,31.4
下妻市,197,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,17.3,39.1
下田市,117,許可制優位,抑制地区制,0.0,手続き重視型,7.7,29.1
加美町,152,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,25.0,34.2
可児市,167,届出制優位,抑制地区制,0.0,手続き重視型,9.6,43.7
我孫子市,39,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,15.4,41.0
皆野町,185,許可制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,13.5,38.4
角田市,114,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,19.3,43.9
掛川市,119,許可制優位,抑制地区制,0.0,手続き重視型,6.7,31.9
笠間市,84,届出制優位,抑制地区制,0.0,手続き重視型,8.3,54.8
滑川町,150,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,14.0,44.7
関市,84,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,11.9,53.6
丸森町,141,許可制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,17.0,55.3
岩国市,123,届出制優位,抑制地区制,0.0,手続き重視型,6.5,36.6
嬉野市,193,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,10.9,46.6
寄居町,88,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,25.0,63.6
紀美野町,138,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,15.2,26.8
鬼北町,108,許可制優位,禁止地区制,1.0,住民参加・手続き重視型,13.9,30.6
亀岡市,74,許可制優位,禁止地区制,1.0,住民参加・手続き重視型,24.3,55.4
菊川市,97,許可制優位,抑制地区制,0.0,手続き重視型,5.2,29.9
菊池市,237,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,20.3,32.9
吉岡町,100,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,19.0,48.0
吉賀町,115,許可制優位,禁止地区制,1.0,住民参加・手続き重視型,20.0,31.3
吉見町,137,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,11.7,41.6
宮古市,267,許可制優位,区域設定なし,0.0,手続き重視型,4.5,19.1
牛久市,109,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,30.3,53.2
京丹後市,56,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,12.5,67.9
京丹波町,198,届出制優位,2層構造(抑制+禁止),0.4,住民参加・手続き重視型,12.6,31.3
京田辺市,192,許可制優位,禁止地区制,0.8,住民参加・手続き重視型,14.6,34.9
喬木村,90,許可制優位,2層構造(抑制+禁止),0.2,住民参加・手続き重視型,13.3,33.3
境町,77,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,22.1,55.8
橋本市,47,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,19.1,46.8
鏡野町,55,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,14.5,81.8
玉川村,103,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,15.5,38.8
桐生市,254,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,17.3,37.8
桐生市_改正前,195,許可制優位,抑制地区制,0.0,手続き重視型,8.2,16.4
錦町,118,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,22.0,43.2
金沢市,100,許可制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,11.0,46.0
串本町,129,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,16.3,29.5
釧路市,178,許可制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,15.2,41.6
熊取町,57,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,26.3,56.1
熊谷市,138,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,19.6,47.8
栗原市,64,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,15.6,51.6
恵那市,214,許可制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,15.9,33.2
結城市,116,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,13.8,75.0
月形町,94,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,17.0,46.8
原村,58,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,25.9,58.6
古河市,65,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,13.8,70.8
古座川町,102,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,12.7,33.3
古平町,103,許可制優位,区域設定なし,0.0,手続き重視型,8.7,40.8
湖西市,76,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,26.3,48.7
五霞町,61,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,31.1,72.1
五條市,99,届出制優位,2層構造(抑制+禁止),0.1,住民参加・手続き重視型,17.2,29.3
御宿町,118,許可制優位,抑制地区制,0.0,手続き重視型,8.5,28.0
御所市,141,届出制優位,2層構造(抑制+禁止),0.2,住民参加・手続き重視型,18.4,27.7
御嵩町,60,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,10.0,48.3
御前崎市,83,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,12.0,27.7
厚真町,50,届出制優位,禁止地区制,1.0,住民参加・手続き重視型,18.0,34.0
江差町,112,届出制優位,区域設定なし,0.0,手続き重視型,0.9,39.3
高崎市,159,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,15.7,30.8
高山村,263,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,20.2,36.5
高取町,61,届出制優位,禁止地区制,0.3,住民参加・手続き重視型,21.3,47.5
高知県須崎市,58,許可制優位,区域設定なし,0.0,住民参加・手続き重視型,17.2,29.3
高槻市,104,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,10.6,45.2
国見町,111,許可制優位,区域設定なし,0.0,住民参加・手続き重視型,11.7,46.8
今金町,81,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,22.2,39.5
佐久穂町,141,許可制優位,禁止地区制,0.7,住民参加・手続き重視型,17.7,40.4
佐伯市,102,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,11.8,38.2
佐野市,196,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,13.3,35.2
坂東市,73,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,21.9,60.3
桜井市,104,届出制優位,2層構造(抑制+禁止),0.4,住民参加・手続き重視型,16.3,28.8
三郷町,70,許可制優位,禁止地区制,0.2,住民参加・手続き重視型,24.3,45.7
三木市,58,届出制優位,禁止地区制,0.5,住民参加・手続き重視型,13.8,62.1
山形村,118,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,39.0,52.5
山元町,89,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,10.1,46.1
士別市,156,届出制優位,禁止地区制,1.0,住民参加・手続き重視型,12.2,41.7
市川町,85,届出制優位,2層構造(抑制+禁止),0.3,手続き重視型,7.1,57.6
志摩市,90,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,36.7,53.3
鹿沼市,190,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,13.2,26.3
鹿島市,125,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,23.2,60.8
鹿嶋市,101,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,15.8,32.7
宍粟市,146,届出制優位,禁止地区制,1.0,手続き重視型,8.9,32.9
雫石町,139,届出制優位,2層構造(抑制+禁止),0.2,住民参加・手続き重視型,14.4,43.2
七ヶ宿町,64,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,21.9,71.9
柴田町,109,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,15.6,47.7
斜里町,93,届出制優位,禁止地区制,1.0,住民参加・手続き重視型,15.1,37.6
渋川市,119,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,17.6,39.5
宿毛市,22,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,13.6,22.7
女川町,106,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,17.9,49.1
小海町,122,許可制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,36.9,40.2
小諸市,81,許可制優位,禁止地区制,0.5,住民参加・手続き重視型,29.6,39.5
小川町,114,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,27.2,58.8
松江市,167,許可制優位,禁止地区制,0.8,住民参加・手続き重視型,19.8,35.9
松崎町,107,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,11.2,30.8
松田町,137,許可制優位,区域設定なし,0.0,手続き重視型,5.8,34.3
松本市,155,許可制優位,2層構造(抑制+禁止),0.4,住民参加・手続き重視型,25.2,48.4
沼津市,150,許可制優位,抑制地区制,0.0,手続き重視型,6.0,26.0
焼津市,75,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,12.0,22.7
上田市,137,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,24.1,56.9
常陸大宮市,196,許可制優位,2層構造(抑制+禁止),0.4,住民参加・手続き重視型,12.2,39.8
色麻町,114,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,19.3,36.0
信濃町,73,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,30.1,42.5
新宮市,105,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,12.4,32.4
新城市,72,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,16.7,59.7
新得町,104,届出制優位,禁止地区制,1.0,住民参加・手続き重視型,11.5,35.6
新富町,56,許可制優位,抑制地区制,0.0,手続き重視型,8.9,44.6
真岡市,152,届出制優位,抑制地区制,0.0,手続き重視型,7.9,47.4
真庭市,61,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,21.3,32.8
神戸市,153,許可制優位,禁止地区制,0.8,手続き重視型,7.8,47.7
諏訪市,38,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,23.7,50.0
須崎市,143,許可制優位,区域設定なし,0.0,住民参加・手続き重視型,21.7,25.9
瑞浪市,119,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,29.4,42.0
裾野市,89,許可制優位,抑制地区制,0.0,手続き重視型,3.4,23.6
瀬戸市,95,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,15.8,64.2
生坂村,127,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,10.2,22.8
西郷村,43,届出制優位,区域設定なし,0.0,手続き重視型,0.0,16.3
西桂町,110,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,14.5,41.8
西桂町_改正前,98,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,10.2,16.3
西予市,132,許可制優位,2層構造(抑制+禁止),0.4,住民参加・手続き重視型,18.9,38.6
西脇市,101,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,10.9,51.5
青木村,104,届出制優位,禁止地区制,1.0,住民参加・手続き重視型,19.2,63.5
静岡県西伊豆町,63,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,14.3,39.7
静岡県東伊豆町,78,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,23.1,37.2
石岡市,63,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,31.7,60.3
石巻市,114,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,17.5,50.0
赤磐市,81,届出制優位,抑制地区制,0.0,手続き重視型,8.6,42.0
赤穂市,114,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,13.2,33.3
仙台市,278,許可制優位,抑制地区制,0.0,手続き重視型,6.5,21.2
千葉県長柄町,30,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,10.0,36.7
川崎町,202,届出制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,15.8,40.1
川島町,182,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,20.9,44.5
川俣町,58,許可制優位,区域設定なし,0.0,手続き重視型,6.9,50.0
前橋市,123,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,18.7,39.8
蔵王町,159,届出制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,19.5,64.8
足利市,238,許可制優位,抑制地区制,0.0,手続き重視型,9.7,33.6
村田町,97,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,14.4,57.7
多可町,197,届出制優位,区域設定なし,0.0,手続き重視型,9.6,29.4
太田市,194,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,12.4,28.9
袋井市,312,許可制優位,抑制地区制,0.0,手続き重視型,4.5,23.4
大宜味村,61,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,29.5,55.7
大玉村,57,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,14.0,43.9
大空町,108,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,15.7,39.8
大桑村,151,許可制優位,抑制地区制,0.0,手続き重視型,9.9,19.2
大崎市,237,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,13.1,27.8
大子町,77,許可制優位,禁止地区制,0.4,手続き重視型,9.1,44.2
大洲市,96,届出制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,25.0,63.5
大町市,174,許可制優位,2層構造(抑制+禁止),0.3,住民参加・手続き重視型,15.5,37.9
大町町,75,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,17.3,40.0
大津市,117,許可制優位,2層構造(抑制+禁止),0.1,住民参加・手続き重視型,13.7,35.9
大津町,138,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,19.6,43.5
大田原市,190,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,14.2,42.6
大府市,106,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,14.2,55.7
大網白里市,103,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,17.5,35.0
辰野町,87,許可制優位,禁止地区制,0.7,手続き重視型,9.2,29.9
丹波市,97,届出制優位,禁止地区制,0.2,手続き重視型,8.2,72.2
竹田市,22,届出制優位,区域設定なし,0.0,手続き重視型,9.1,45.5
秩父市,109,許可制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,18.3,50.5
中川村,127,届出制優位,禁止地区制,1.0,住民参加・手続き重視型,16.5,46.5
中津川市,119,届出制優位,抑制地区制,0.0,手続き重視型,5.9,37.0
朝日村,54,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,14.8,63.0
長沼町,134,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,23.9,44.0
長野県松川村,163,許可制優位,区域設定なし,0.0,手続き重視型,9.2,41.1
長野県筑北村,109,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,22.9,47.7
長野市,247,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,16.2,38.5
鳥羽市,68,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,17.6,35.3
鶴居村,110,届出制優位,抑制地区制,0.0,手続き重視型,9.1,30.9
天草市,43,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,14.0,48.8
天理市,337,届出制優位,2層構造(抑制+禁止),0.2,手続き重視型,7.4,16.0
田川市,55,届出制優位,抑制地区制,0.0,手続き重視型,9.1,32.7
田村市,111,届出制優位,2層構造(抑制+禁止),0.1,住民参加・手続き重視型,15.3,27.0
登米市,74,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,24.3,50.0
登別市,138,届出制優位,2層構造(抑制+禁止),0.4,住民参加・手続き重視型,14.5,35.5
砥部町,155,許可制優位,禁止地区制,1.0,住民参加・手続き重視型,18.7,41.3
土佐市,154,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,14.9,31.2
土佐清水市,78,届出制優位,区域設定なし,0.0,標準型,0.0,12.8
島田市,60,届出制優位,区域設定なし,0.0,手続き重視型,8.3,60.0
東栄町,95,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,15.8,34.7
東海村,117,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,12.0,43.6
東広島市,65,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,16.9,64.6
東松山市,131,届出制優位,2層構造(抑制+禁止),0.6,住民参加・手続き重視型,15.3,63.4
東村,117,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,17.1,38.5
湯河原町,172,許可制優位,抑制地区制,0.0,手続き重視型,5.2,30.2
藤枝市,58,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,15.5,41.4
苫小牧市,112,届出制優位,禁止地区制,0.8,住民参加・手続き重視型,16.1,44.6
奈義町,64,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,12.5,51.6
那珂市,114,届出制優位,抑制地区制,0.0,手続き重視型,7.9,47.4
那須塩原市,138,届出制優位,2層構造(抑制+禁止),0.3,手続き重視型,4.3,22.5
那須町,117,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,19.7,55.6
那智勝浦町,113,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,14.2,32.7
内子町,60,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,18.3,51.7
楢葉町,270,届出制優位,区域設定なし,0.0,手続き重視型,9.6,24.1
南伊勢町,174,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,33.9,42.5
南関町,112,許可制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,18.8,39.3
南三陸町,33,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,24.2,54.5
南山城村,164,許可制優位,禁止地区制,1.0,住民参加・手続き重視型,20.7,43.3
南相馬市,109,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,17.4,33.0
南丹市,66,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,25.8,71.2
南知多町,153,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,30.1,43.8
南砺市,161,許可制優位,禁止地区制,1.0,住民参加・手続き重視型,18.0,25.5
南島原市,322,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,11.2,25.5
南箕輪村,117,届出制優位,禁止地区制,0.2,住民参加・手続き重視型,23.1,43.6
南木曽町,98,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,14.3,55.1
日光市,128,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,17.2,53.9
日高市,96,許可制優位,区域設定なし,0.0,手続き重視型,9.4,24.0
日高町,118,届出制優位,禁止地区制,1.0,手続き重視型,5.1,40.7
日出町,141,届出制優位,抑制地区制,0.0,手続き重視型,9.2,38.3
日置市,108,届出制優位,区域設定なし,0.0,手続き重視型,2.8,34.3
日立市,122,届出制優位,抑制地区制,0.0,手続き重視型,8.2,42.6
入間市,67,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,17.9,58.2
熱海市,124,許可制優位,抑制地区制,0.0,手続き重視型,3.2,32.3
能勢町,160,許可制優位,禁止地区制,1.0,住民参加・手続き重視型,10.0,35.0
売木村,60,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,38.3,51.7
白石市,150,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,13.3,41.3
白馬村,69,許可制優位,2層構造(抑制+禁止),0.3,住民参加・手続き重視型,17.4,43.5
白老町,123,届出制優位,禁止地区制,1.0,住民参加・手続き重視型,14.6,56.9
函南町,61,届出制優位,抑制地区制,0.0,手続き重視型,6.6,47.5
八千代町,133,届出制優位,抑制地区制,0.0,手続き重視型,9.0,53.4
八幡市,125,届出制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,13.6,34.4
八幡浜市,139,届出制優位,抑制地区制,0.0,手続き重視型,1.4,41.0
八幡平市,140,許可制優位,2層構造(抑制+禁止),0.4,手続き重視型,8.6,29.3
鳩山町,130,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,16.2,53.1
飯塚市,124,届出制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,15.3,37.1
飯能市,83,届出制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,20.5,47.0
飯豊町,46,許可制優位,区域設定なし,0.0,手続き重視型,8.7,37.0
磐田市,80,許可制優位,区域設定なし,0.0,手続き重視型,6.2,36.2
備前市,135,届出制優位,区域設定なし,0.0,手続き重視型,5.2,42.2
美祢市,44,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,29.5,36.4
美浜町,97,届出制優位,2層構造(抑制+禁止),0.2,住民参加・手続き重視型,21.6,32.0
美里町,152,届出制優位,区域設定なし,0.0,手続き重視型,5.3,39.5
標津町,91,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,18.7,40.7
浜松市,58,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,10.3,53.4
浜中町,168,届出制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,11.3,26.2
富岡市,190,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,12.6,29.5
富士宮市,76,許可制優位,抑制地区制,0.0,手続き重視型,5.3,23.7
富士見町,82,許可制優位,2層構造(抑制+禁止),0.2,住民参加・手続き重視型,20.7,47.6
富谷市,53,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,20.8,67.9
武雄市,103,届出制優位,抑制地区制,0.0,手続き重視型,4.9,37.9
福岡県直方市,49,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,34.7,59.2
福島市,234,許可制優位,禁止地区制,1.0,手続き重視型,8.1,36.3
平群町,74,許可制優位,禁止地区制,0.3,住民参加・手続き重視型,28.4,48.6
平谷村,56,許可制優位,2層構造(抑制+禁止),0.2,住民参加・手続き重視型,17.9,46.4
米原市,376,許可制優位,禁止地区制,0.5,手続き重視型,6.1,16.5
芳賀町,176,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,13.6,45.5
豊丘村,87,許可制優位,2層構造(抑制+禁止),0.2,住民参加・手続き重視型,19.5,55.2
豊橋市,95,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,15.8,42.1
豊能町,138,許可制優位,禁止地区制,1.0,住民参加・手続き重視型,15.2,34.8
鉾田市,375,届出制優位,2層構造(抑制+禁止),0.1,住民参加・手続き重視型,15.7,37.3
防府市,106,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,13.2,28.3
北茨城市,55,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,12.7,43.6
北相木村,90,許可制優位,2層構造(抑制+禁止),0.2,住民参加・手続き重視型,13.3,32.2
北斗市,124,許可制優位,2層構造(抑制+禁止),0.6,手続き重視型,7.3,47.6
北杜市,103,許可制優位,区域設定あり(少数),0.0,手続き重視型,8.7,26.2
本庄市,125,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,12.0,40.0
麻績村,96,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,18.8,27.1
箕面市,118,許可制優位,禁止地区制,0.5,住民参加重視型,10.2,6.8
岬町,58,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,25.9,60.3
名張市,51,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,19.6,49.0
茂木町,190,許可制優位,2層構造(抑制+禁止),0.3,住民参加・手続き重視型,14.2,42.6
毛呂山町,113,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,14.2,54.0
木古内町,100,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,14.0,33.0
木曽町,166,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,15.1,27.1
木祖村,69,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,21.7,27.5
木津川市,100,許可制優位,抑制地区制,0.0,手続き重視型,4.0,33.0
野田市,122,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,17.2,64.8
野木町,126,届出制優位,抑制地区制,0.0,手続き重視型,8.7,56.3
矢祭町,146,許可制優位,2層構造(抑制+禁止),0.4,住民参加・手続き重視型,14.4,38.4
矢吹町,386,許可制優位,抑制地区制,0.0,手続き重視型,8.8,18.7
湧別町,167,届出制優位,禁止地区制,0.8,住民参加・手続き重視型,19.2,40.1
由布市,61,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,18.0,59.0
羅臼町,76,届出制優位,区域設定なし,0.0,手続き重視型,7.9,27.6
嵐山町,337,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,16.0,39.2
利根町,124,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,14.5,45.2
龍ケ崎市,70,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,31.4,47.1
和歌山市,200,許可制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,17.0,33.5
和気町,179,届出制優位,区域設定なし,0.0,手続き重視型,9.5,54.7
